🛍️  PRODUCTS & SERVICES CATALOGUE,,,,,,,,,
,,,,,,,,,
Service ID,Product / Service Name,Category,Market Name,Status,Description,Key Features,Target Audience,Min Price (₹),Max Price (₹)
KS-W01,Website Development,Web Services,Web Presence,Active,"We at Kalpavriksha help you build your online presence — professional, visible, and optimised. Your website becomes the perfect gateway to online media and millions of customers worldwide.","Custom design, Google Business setup, Meta account integration, Social media ecosystem, SEO-ready, Mobile responsive","SMEs, Retailers, Professionals, Startups","₹8,000","₹35,000"
KS-W02,Website Re-Development,Web Services,Web Presence,Active,"Redesign and modernise your existing website with updated UI/UX, improved performance, and fresh branding aligned with your current business goals.","Full redesign, Performance optimisation, Modern UI/UX, Content migration, New branding",Businesses with outdated websites,"₹6,000","₹28,000"
KS-W03,Webstore Development,Web Services,E-Commerce,Active,"Launch a fully functional online store using Shopify or custom solutions. Accept payments, manage inventory, and sell to customers across India and beyond.","Shopify setup, Payment gateway, Product catalogue, Order management, Mobile responsive, Analytics","Retailers, Manufacturers, Fashion & Lifestyle brands","₹12,000","₹60,000"
KS-W04,Webstore Re-Development,Web Services,E-Commerce,Active,"Revamp your existing webstore with better UX, faster load times, and updated product listings to increase conversions and reduce cart abandonment.","UI/UX overhaul, Speed optimisation, Conversion rate improvement, New integrations",Existing Shopify/WooCommerce store owners,"₹8,000","₹40,000"
KS-W05,Website Maintenance,Web Services,Maintenance,Active,"Monthly maintenance package to keep your website fast, secure, and up-to-date. Includes content updates, security patches, and performance monitoring.","Monthly updates, Security patches, Uptime monitoring, Content edits, Backup management",All website owners,"₹2,000","₹8,000"
KS-W06,Webstore Maintenance,Web Services,Maintenance,Active,"Monthly maintenance for your online store — product updates, discount management, order tracking support, and performance monitoring.","Product/inventory updates, Discount campaigns, Order support, Analytics reporting",Webstore owners,"₹3,000","₹10,000"
KP-AI01,WhatsApp AI Bot,AI Products,AI Automation,Active,"An intelligent AI chatbot integrated directly into your WhatsApp Business account. Trained on your data, it handles customer queries, bookings, and FAQs 24/7 with minimal human intervention.","WhatsApp Business API, Custom AI training, FAQ automation, Lead capture, Human handoff, Multi-language support","Retail, Hospitality, Clinics, Education, Service businesses","₹6,000","₹25,000"
KP-AI02,Smart DOCX Generator,AI Products,Document Automation,Coming Soon,"Generate bulk documents — certificates, invoices, proposals, reports — from your Excel data and a Word template in seconds. Upload data → choose template → download all documents.","Bulk generation, Custom templates, PDF/DOCX output, Data merge, Real-time preview, Print-ready","Coaching institutes, Corporates, Schools, Businesses issuing bulk documents","₹3,000","₹12,000"
KP-AI03,Video to Notes Converter,AI Products,AI Automation,Coming Soon,"Upload any meeting recording, lecture, or webinar and receive clean, structured, actionable notes automatically. Save hours of manual transcription every week.","AI transcription, Smart summarisation, Action item extraction, Chapter markers, Downloadable notes","Teachers, Students, Corporate teams, Coaches","₹2,000","₹8,000"
KP-AI04,AI Website Builder (Demo),AI Products,Demonstration Tool,Live Demo,A live demonstration tool where users describe their dream website in plain language and watch AI generate a working prototype in seconds. Showcases the speed and capability of our AI systems.,"Real-time generation, Natural language input, Instant prototype, Public demo access","Prospective clients, Curious explorers, Tech enthusiasts",Contact us,Contact us
KS-FBM01,Finance & Business Management System,Custom Systems,Business Automation,Active,Custom Google Sheets or Excel-based finance and business management systems tailored to your specific workflow — from income tracking and expense management to GST summaries and P&L reports.,"Custom dashboards, Income/expense tracking, GST reports, Multi-sheet integration, Auto calculations","SMEs, Retailers, Proprietorships","₹5,000","₹20,000"
K000,Custom AI Solution,Custom Systems,Bespoke AI,Active,"Facing a workflow problem you can't crack? Tell us about it. We listen, understand your vision, and build a custom AI-powered solution designed specifically around your business — no off-the-shelf tools, no compromises.","Bespoke development, Any industry, End-to-end build, Custom integrations, Ongoing support",Any business with unique automation needs,Contact Us,Contact Us
